id,file,percent,hp,time captured,time parsed,manual
flauros,Screenshot (253).png,99.9,1946.0,1545381985,1545388965.0,
forneus,Screenshot (254).png,99.93,1377.0,1545381989,1545388966.0,
flauros,Screenshot (255).png,99.9,2082.0,1545382098,1545388967.0,
barbatos,Screenshot (257).png,97.44,51233.0,1545382104,1545388970.0,
halphas,Screenshot (258).png,99.95,945.0,1545382107,1545388971.0,
amon_ra,Screenshot (259).png,99.96,818.0,1545382111,1545388972.0,
sabnock,Screenshot (260).png,99.95,1067.0,1545382114,1545388973.0,
flauros,Screenshot (261).png,99.9,2082.0,1545382117,1545388975.0,
flauros,Screenshot (263).png,99.89,2235.0,1545382230,1545388977.0,
forneus,Screenshot (264).png,99.92,1589.0,1545382233,1545388978.0,
barbatos,Screenshot (265).png,97.26,54774.0,1545382236,1545388980.0,
halphas,Screenshot (266).png,99.95,1008.0,1545382239,1545388981.0,
amon_ra,Screenshot (267).png,99.96,875.0,1545382243,1545388982.0,
sabnock,Screenshot (268).png,99.94,1141.0,1545382246,1545388983.0,
flauros,Screenshot (269).png,99.89,2235.0,1545382250,1545388985.0,
forneus,Screenshot (270).png,99.92,1589.0,1545382253,1545388986.0,
flauros,Screenshot (271).png,99.88,2361.0,1545382362,1545388987.0,
forneus,Screenshot (272).png,99.92,1673.0,1545382365,1545388988.0,
barbatos,Screenshot (273).png,97.09,58113.0,1545382369,1545388989.0,
halphas,Screenshot (274).png,99.95,1073.0,1545382372,1545388991.0,
amon_ra,Screenshot (275).png,99.95,926.0,1545382375,1545388992.0,
sabnock,Screenshot (276).png,99.94,1217.0,1545382378,1545388993.0,
flauros,Screenshot (277).png,99.88,2361.0,1545382382,1545388994.0,
forneus,Screenshot (278).png,99.92,1673.0,1545382386,1545388995.0,
flauros,Screenshot (279).png,99.87,2517.0,1545382495,1545388997.0,
forneus,Screenshot (280).png,99.91,1770.0,1545382498,1545388998.0,
barbatos,Screenshot (281).png,96.91,61869.0,1545382501,1545388999.0,
halphas,Screenshot (282).png,99.94,1146.0,1545382504,1545389000.0,
amon_ra,Screenshot (283).png,99.95,985.0,1545382508,1545389002.0,
sabnock,Screenshot (284).png,99.93,1319.0,1545382511,1545389003.0,
flauros,Screenshot (285).png,99.87,2517.0,1545382515,1545389004.0,
forneus,Screenshot (286).png,99.91,1770.0,1545382519,1545389008.0,
flauros,Screenshot (287).png,99.87,2672.0,1545382627,1545389012.0,
barbatos,Screenshot (289).png,96.71,65772.0,1545382634,1545389023.0,
halphas,Screenshot (290).png,99.94,1213.0,1545382637,1545389029.0,
amon_ra,Screenshot (291).png,99.95,1053.0,1545382640,1545389040.0,
flauros,Screenshot (293).png,99.87,2672.0,1545382647,1545389042.0,
